operation,language,kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
matmul,rust,tiled_matmul,347.675,2026-09-10T01:15:52.464722,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.748,2026-09-10T01:15:52.464729,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.196,2026-09-10T01:15:52.465026,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.464,2026-09-10T01:15:52.465039,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.301,2026-09-10T01:15:52.465049,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.293,2026-09-10T01:15:52.465057,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.423,2026-09-10T01:15:52.465065,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,347.74,2026-09-10T01:15:52.465073,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,350.375,2026-09-10T01:15:52.465081,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.463,2026-09-10T01:15:52.465088,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
